year,countyfip,county_name,state_name,total_population,per_capita_personal_income,unemp_rate
2008,1,Alameda,California,1468793,48349,6.22
2009,1,Alameda,California,1489583,45893,10.72
2010,1,Alameda,California,1512997,47625,11.14
2011,1,Alameda,California,1530893,50432,10.26
2012,1,Alameda,California,1553729,52296,8.83
2013,1,Alameda,California,1579508,54131,7.32
2014,1,Alameda,California,1607638,57009,5.9
2015,1,Alameda,California,1634326,61618,4.78
2016,1,Alameda,California,1650765,65215,4.33
2017,1,Alameda,California,1659824,69258,3.7
2018,1,Alameda,California,1666596,74193,3.06
2019,1,Alameda,California,1668412,79878,2.97
2020,1,Alameda,California,1680380,87561,8.98
2021,1,Alameda,California,1643837,98657,6.09
2022,1,Alameda,California,1628997,97754,3.3
2008,3,Alpine,California,1063,37726,10.98
2009,3,Alpine,California,1042,38420,15.33
2010,3,Alpine,California,1161,41867,13.56
2011,3,Alpine,California,1093,54040,13.17
2012,3,Alpine,California,1111,56293,11.44
2013,3,Alpine,California,1131,54549,9.85
2014,3,Alpine,California,1083,61368,8.32
2015,3,Alpine,California,1080,63924,7.42
2016,3,Alpine,California,1053,70376,6.57
2017,3,Alpine,California,1116,68653,6.29
2018,3,Alpine,California,1081,74453,4.67
2019,3,Alpine,California,1113,79397,5.32
2020,3,Alpine,California,1204,74088,12.24
2021,3,Alpine,California,1235,69869,8.28
2022,3,Alpine,California,1190,67551,5.43
2008,5,Amador,California,38046,33890,7.72
2009,5,Amador,California,38038,33042,11.9
2010,5,Amador,California,37883,34327,14.37
2011,5,Amador,California,37539,34847,13.84
2012,5,Amador,California,37105,35633,12.46
2013,5,Amador,California,36624,36375,10.44
2014,5,Amador,California,36734,37936,8.39
2015,5,Amador,California,37039,39764,6.64
2016,5,Amador,California,37443,40310,5.97
2017,5,Amador,California,38549,41237,5.02
2018,5,Amador,California,39349,41827,4.1
2019,5,Amador,California,39693,43913,3.92
2020,5,Amador,California,40532,47359,9.43
2021,5,Amador,California,41144,49980,6.99
2022,5,Amador,California,41412,48463,4.43
2008,7,Butte,California,219059,31806,8.48
2009,7,Butte,California,219875,31868,12.8
2010,7,Butte,California,219951,32994,14.22
2011,7,Butte,California,219983,33669,13.89
2012,7,Butte,California,220877,34536,12.35
2013,7,Butte,California,221649,35368,10.45
2014,7,Butte,California,223525,36603,8.75
2015,7,Butte,California,224643,39352,7.23
2016,7,Butte,California,226222,40662,6.64
2017,7,Butte,California,228700,41581,5.83
2018,7,Butte,California,230330,42630,5.08
2019,7,Butte,California,218726,45917,5.11
2020,7,Butte,California,210135,51308,9.41
2021,7,Butte,California,206190,56011,6.88
2022,7,Butte,California,207303,54974,4.45
2008,9,Calaveras,California,46932,36079,8.71
2009,9,Calaveras,California,46659,35585,14.14
2010,9,Calaveras,California,45467,36742,14.8
2011,9,Calaveras,California,45159,37516,14.27
2012,9,Calaveras,California,44816,37399,12.56
2013,9,Calaveras,California,44658,37734,10.07
2014,9,Calaveras,California,44677,39733,8.11
2015,9,Calaveras,California,44972,42659,6.44
2016,9,Calaveras,California,45307,44010,5.69
2017,9,Calaveras,California,45658,45833,4.76
2018,9,Calaveras,California,45747,47296,4.03
2019,9,Calaveras,California,46119,50095,3.84
2020,9,Calaveras,California,45346,54090,7.84
2021,9,Calaveras,California,46219,56723,5.79
2022,9,Calaveras,California,46563,56001,3.65
2008,11,Colusa,California,21201,38177,13.97
2009,11,Colusa,California,21325,40740,18.35
2010,11,Colusa,California,21435,40294,21.33
2011,11,Colusa,California,21315,40313,21.8
2012,11,Colusa,California,21274,36669,21.2
2013,11,Colusa,California,21239,39501,19.17
2014,11,Colusa,California,21156,34844,17.68
2015,11,Colusa,California,21208,39272,15.58
2016,11,Colusa,California,21476,41196,15.63
2017,11,Colusa,California,21558,41189,14.41
2018,11,Colusa,California,21389,45624,13.2
2019,11,Colusa,California,21474,44658,12.93
2020,11,Colusa,California,21858,56086,16.3
2021,11,Colusa,California,21913,59102,12.57
2022,11,Colusa,California,21914,55502,11.61
2008,13,Contra Costa,California,1025412,58263,6.23
2009,13,Contra Costa,California,1040594,53921,10.37
2010,13,Contra Costa,California,1052516,53631,11.22
2011,13,Contra Costa,California,1065361,57227,10.48
2012,13,Contra Costa,California,1077439,61059,9.11
2013,13,Contra Costa,California,1093253,60387,7.6
2014,13,Contra Costa,California,1108665,62381,6.26
2015,13,Contra Costa,California,1124148,67056,5.07
2016,13,Contra Costa,California,1137259,70261,4.48
2017,13,Contra Costa,California,1145623,74770,3.88
2018,13,Contra Costa,California,1150840,78504,3.2
2019,13,Contra Costa,California,1152883,80243,3.11
2020,13,Contra Costa,California,1165986,86359,9.06
2021,13,Contra Costa,California,1163298,94834,6.38
2022,13,Contra Costa,California,1156966,95047,3.52
2008,15,Del Norte,California,28885,25857,8.83
2009,15,Del Norte,California,29058,25993,12.28
2010,15,Del Norte,California,28568,27355,13.51
2011,15,Del Norte,California,28447,28194,13.55
2012,15,Del Norte,California,28195,28596,13.73
2013,15,Del Norte,California,27821,29550,11.98
2014,15,Del Norte,California,27182,31479,10.18
2015,15,Del Norte,California,27198,33072,8.6
