state_name,state_abbreviation,statefip,year,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,rate_violent_crime,rate_homicide,rate_robbery,rate_aggravated_assault,rate_property_crime,rate_burglary,rate_larceny,rate_motor_vehicle_theft
Alabama,AL,1,2008,4661900,21110,351,7346,11795,190416,50411,126539,13466,452.8197,7.529119,157.5752,253.0084,4084.515,1081.34,2714.323,288.8522
Alabama,AL,1,2009,4708708,21194,322,6265,13103,178007,48844,118072,11091,450.1022,6.838394,133.0514,278.2717,3780.379,1037.312,2507.524,235.5423
Alabama,AL,1,2010,4785401,18363,275,4864,11869,168828,42484,115564,10780,383.7296,5.746645,101.6425,248.0252,3527.98,887.7835,2414.928,225.2685
Alabama,AL,1,2011,4803689,20166,299,4906,13591,173192,51119,111411,10662,419.8024,6.224383,102.1298,282.9284,3605.396,1064.161,2319.28,221.9544
Alabama,AL,1,2012,4817528,21693,342,5020,15035,168878,47481,111523,9874,450.2932,7.099077,104.2028,312.0895,3505.491,985.5884,2314.942,204.9599
Alabama,AL,1,2013,4833996,20834,346,4645,13788,161835,42410,108862,10563,430.9892,7.15764,96.09027,285.2299,3347.851,877.328,2252.009,218.5149
Alabama,AL,1,2014,4846411,20727,276,4702,13744,154087,39723,104223,10141,427.6773,5.694936,97.02025,283.5913,3179.404,819.6375,2150.519,209.2476
Alabama,AL,1,2015,4853875,22957,348,4612,15960,144785,35265,99182,10338,472.9623,7.169529,95.01687,328.8094,2982.875,726.5329,2043.357,212.9845
Alabama,AL,1,2016,4860545,25878,407,4687,18869,143259,34045,97498,11716,532.4094,8.373547,96.42951,388.2075,2947.385,700.4359,2005.907,241.0429
Alabama,AL,1,2017,4875120,25469,419,4233,18816,143774,31270,99707,12797,522.4282,8.59466,86.82863,385.9597,2949.138,641.4201,2045.221,262.4961
Alabama,AL,1,2018,4887681,25567,383,4047,19105,138702,29101,96328,13273,523.0906,7.836027,82.8,390.8807,2837.788,595.3948,1970.832,271.5603
Alabama,AL,1,2019,4907965,24769,390,3922,18338,128726,24805,91225,12696,504.6695,7.946267,79.91092,373.6375,2622.798,505.403,1858.713,258.6815
Alabama,AL,1,2020,4921532,22322,471,2666,17577,105161,19660,74575,10926,453.558,9.57019,54.17012,357.1449,2136.753,399.4691,1515.28,222.004
Alabama,AL,1,2021,5049846,17590,476,1570,14175,74271,13584,50982,9705,348.3275,9.42603,31.09006,280.7016,1470.758,268.9983,1009.575,192.1841
Alabama,AL,1,2022,5074296,20759,552,1750,16953,88240,14408,63566,10266,409.1011,10.87836,34.48754,334.0956,1738.96,283.9409,1252.706,202.3138
Alaska,AK,2,2008,686293,4475,27,645,3356,20090,3237,15225,1628,652.0538,3.93418,93.98318,489.004,2927.321,471.6644,2218.44,237.2165
