year,statefip,state_name,census_region_name,labor_force_participation_rate,employment_rate,hhincome,incwage,poverty_rate,food_stamp_recipiency,homeownership_rate,rental_rate,rent_average_total,attending_school,educ_hs_grad,educ_college_grad,pct_hispanic,pct_white,pct_black,pct_asian,pct_female,pct_married,commute_car,commute_public,commute_time,work_from_home,migrate_no_move,migrate_same_state,migrate_new_state
2018,1,alabama,South,0.567,0.944,77785,42462,0.172,0.160,0.696,0.304,886,0.240,0.689,0.180,0.043,0.677,0.269,0.014,0.516,0.387,0.942,0.000,24.3,0.034,0.850,0.114,0.022
2019,1,alabama,South,0.579,0.952,80900,43336,0.157,0.151,0.711,0.289,907,0.237,0.695,0.187,0.045,0.678,0.269,0.014,0.516,0.390,0.942,0.005,24.5,0.031,0.858,0.108,0.021
2020,1,alabama,South,0.569,0.942,87990,45911,0.148,0.161,0.738,0.262,909,0.231,0.701,0.199,0.045,0.651,0.255,0.014,0.519,0.399,0.895,0.003,23.7,0.083,0.878,0.089,0.020
2021,1,alabama,South,0.579,0.947,84466,46263,0.161,0.174,0.725,0.275,978,0.233,0.700,0.198,0.047,0.650,0.259,0.014,0.515,0.386,0.880,0.002,22.9,0.098,0.873,0.093,0.022
2022,1,alabama,South,0.584,0.956,90667,49310,0.166,0.162,0.730,0.270,1032,0.240,0.712,0.205,0.048,0.650,0.257,0.015,0.515,0.397,0.885,0.003,23.1,0.090,0.868,0.092,0.027
2018,2,alaska,West,0.684,0.931,107104,52025,0.109,0.134,0.690,0.310,1418,0.257,0.708,0.204,0.072,0.642,0.032,0.069,0.485,0.398,0.807,0.001,18.1,0.055,0.824,0.116,0.039
2019,2,alaska,West,0.655,0.944,111945,50769,0.109,0.117,0.674,0.326,1449,0.243,0.716,0.210,0.071,0.652,0.026,0.074,0.483,0.393,0.834,0.009,18.3,0.039,0.841,0.093,0.047
2020,2,alaska,West,0.669,0.916,114201,54107,0.092,0.106,0.714,0.286,1435,0.233,0.717,0.216,0.074,0.584,0.031,0.069,0.474,0.394,0.762,0.006,16.7,0.118,0.844,0.093,0.042
2021,2,alaska,West,0.655,0.940,112133,55772,0.111,0.139,0.724,0.276,1450,0.240,0.709,0.218,0.072,0.592,0.031,0.082,0.474,0.393,0.785,0.007,17.5,0.096,0.864,0.081,0.039
2022,2,alaska,West,0.658,0.958,123977,58665,0.113,0.134,0.706,0.294,1451,0.235,0.718,0.216,0.077,0.598,0.033,0.073,0.471,0.393,0.761,0.018,17.7,0.099,0.838,0.090,0.054
