county.fip,county.name.x,state,year,filing_rate,state.fip,county.name.y,unemp.rate,obs.per.county
1001,Autauga County,Alabama,2012,3.1800001,1,"Autauga County, AL",7.1,4
1001,Autauga County,Alabama,2013,3.25,1,"Autauga County, AL",6.3,4
1001,Autauga County,Alabama,2014,2.73,1,"Autauga County, AL",5.8,4
1001,Autauga County,Alabama,2015,2.5599999,1,"Autauga County, AL",5.2,4
1003,Baldwin County,Alabama,2012,3.79,1,"Baldwin County, AL",7.7,3
1003,Baldwin County,Alabama,2013,3.6400001,1,"Baldwin County, AL",6.7,3
1003,Baldwin County,Alabama,2016,3.54,1,"Baldwin County, AL",5.4,3
1005,Barbour County,Alabama,2012,0.36000001,1,"Barbour County, AL",11.8,7
1005,Barbour County,Alabama,2013,0.80000001,1,"Barbour County, AL",10.4,7
1005,Barbour County,Alabama,2014,0.63,1,"Barbour County, AL",10.5,7
1005,Barbour County,Alabama,2015,0.70999998,1,"Barbour County, AL",8.9,7
1005,Barbour County,Alabama,2016,0.95999998,1,"Barbour County, AL",8.4,7
1005,Barbour County,Alabama,2017,0.44,1,"Barbour County, AL",6,7
1005,Barbour County,Alabama,2018,1.1799999,1,"Barbour County, AL",5.1,7
1007,Bibb County,Alabama,2012,0.74000001,1,"Bibb County, AL",8.8,7
1007,Bibb County,Alabama,2013,1.09,1,"Bibb County, AL",8,7
1007,Bibb County,Alabama,2014,1.6,1,"Bibb County, AL",7.2,7
1007,Bibb County,Alabama,2015,1.49,1,"Bibb County, AL",6.7,7
1007,Bibb County,Alabama,2016,1.1900001,1,"Bibb County, AL",6.5,7
1007,Bibb County,Alabama,2017,1.8200001,1,"Bibb County, AL",4.5,7
1007,Bibb County,Alabama,2018,1.36,1,"Bibb County, AL",4,7
1009,Blount County,Alabama,2012,1.09,1,"Blount County, AL",7.1,7
1009,Blount County,Alabama,2013,1.23,1,"Blount County, AL",6.4,7
1009,Blount County,Alabama,2014,1.84,1,"Blount County, AL",6.1,7
1009,Blount County,Alabama,2015,1.3200001,1,"Blount County, AL",5.4,7
1009,Blount County,Alabama,2016,1.45,1,"Blount County, AL",5.4,7
1009,Blount County,Alabama,2017,1.11,1,"Blount County, AL",4.1,7
1009,Blount County,Alabama,2018,1.33,1,"Blount County, AL",3.5,7
1011,Bullock County,Alabama,2012,2.79,1,"Bullock County, AL",10.6,7
1011,Bullock County,Alabama,2013,1.49,1,"Bullock County, AL",9.5,7
1011,Bullock County,Alabama,2014,3.6300001,1,"Bullock County, AL",8.8,7
1011,Bullock County,Alabama,2015,2.79,1,"Bullock County, AL",8,7
1011,Bullock County,Alabama,2016,2.3599999,1,"Bullock County, AL",6.9,7
1011,Bullock County,Alabama,2017,3.05,1,"Bullock County, AL",5,7
1011,Bullock County,Alabama,2018,3.8299999,1,"Bullock County, AL",4.7,7
1013,Butler County,Alabama,2012,1.45,1,"Butler County, AL",11.8,7
1013,Butler County,Alabama,2013,1.87,1,"Butler County, AL",10.4,7
1013,Butler County,Alabama,2014,1.66,1,"Butler County, AL",8.5,7
1013,Butler County,Alabama,2015,2.0699999,1,"Butler County, AL",7.6,7
1013,Butler County,Alabama,2016,2.8099999,1,"Butler County, AL",6.9,7
1013,Butler County,Alabama,2017,1.13,1,"Butler County, AL",5.6,7
1013,Butler County,Alabama,2018,2.2,1,"Butler County, AL",4.7,7
1015,Calhoun County,Alabama,2012,3.3499999,1,"Calhoun County, AL",9.1,5
1015,Calhoun County,Alabama,2013,3.3099999,1,"Calhoun County, AL",8.9,5
1015,Calhoun County,Alabama,2014,3.26,1,"Calhoun County, AL",7.9,5
1015,Calhoun County,Alabama,2015,3.5799999,1,"Calhoun County, AL",7.1,5
1015,Calhoun County,Alabama,2016,3.5999999,1,"Calhoun County, AL",6.6,5
1019,Cherokee County,Alabama,2012,1.11,1,"Cherokee County, AL",8.2,7
1019,Cherokee County,Alabama,2013,1.39,1,"Cherokee County, AL",6.7,7
1019,Cherokee County,Alabama,2014,1.51,1,"Cherokee County, AL",5.8,7
1019,Cherokee County,Alabama,2015,0.91000003,1,"Cherokee County, AL",5.5,7
1019,Cherokee County,Alabama,2016,1.73,1,"Cherokee County, AL",5.1,7
1019,Cherokee County,Alabama,2017,1.27,1,"Cherokee County, AL",4.2,7
1019,Cherokee County,Alabama,2018,2.1400001,1,"Cherokee County, AL",3.6,7
1021,Chilton County,Alabama,2012,2.0599999,1,"Chilton County, AL",7.4,5
1021,Chilton County,Alabama,2013,2.1400001,1,"Chilton County, AL",6.7,5
1021,Chilton County,Alabama,2014,2.4000001,1,"Chilton County, AL",6.2,5
1021,Chilton County,Alabama,2015,2.27,1,"Chilton County, AL",5.7,5
